Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
41,0.3125,-0.06,0.24,-0.47,-0.04,-0.08,-0.51,6.28,0.25,-8.77,11.34,-0.35,20.92,1.65,16.31,-1.57,-6.12,5.78,-6.1,2.55,9.69,0.08,0.1,11.16,-0.08,-0.04,13.49,1.46,-0.11,12.86,-2.25,-0.14,10.8,1.38,-0.16,1.39,-2.25,-0.14,-3.03
42,0.3203,-0.06,0.24,-0.49,-0.04,-0.08,-0.52,6.28,0.24,-8.78,11.34,-0.36,20.92,1.64,16.31,-1.58,-6.11,5.78,-6.1,2.55,9.69,0.08,0.1,11.16,-0.08,-0.04,13.49,1.46,-0.11,12.86,-2.25,-0.14,10.8,1.38,-0.17,1.39,-2.25,-0.14,-3.03
43,0.3281,-0.05,0.24,-0.5,-0.04,-0.08,-0.54,6.28,0.23,-8.8,11.34,-0.36,20.91,1.63,16.31,-1.59,-6.12,5.78,-6.1,2.55,9.69,0.08,0.09,11.16,-0.08,-0.04,13.49,1.47,-0.11,12.86,-2.25,-0.14,10.8,1.39,-0.17,1.38,-2.25,-0.14,-3.03
44,0.3359,-0.05,0.24,-0.51,-0.04,-0.08,-0.55,6.28,0.22,-8.81,11.34,-0.37,20.91,1.63,16.31,-1.61,-6.12,5.77,-6.1,2.55,9.69,0.08,0.09,11.16,-0.08,-0.04,13.49,1.47,-0.11,12.86,-2.25,-0.14,10.8,1.39,-0.17,1.38,-2.25,-0.14,-3.03
45,0.3438,-0.05,0.24,-0.51,-0.04,-0.08,-0.56,6.27,0.21,-8.82,11.35,-0.38,20.9,1.62,16.3,-1.62,-6.12,5.77,-6.11,2.55,9.69,0.07,0.09,11.17,-0.08,-0.04,13.49,1.47,-0.11,12.86,-2.25,-0.14,10.8,1.39,-0.18,1.38,-2.24,-0.14,-3.03
46,0.3516,-0.05,0.24,-0.52,-0.03,-0.08,-0.57,6.27,0.2,-8.83,11.35,-0.4,20.89,1.61,16.3,-1.63,-6.11,5.77,-6.11,2.55,9.69,0.08,0.09,11.17,-0.09,-0.05,13.49,1.47,-0.11,12.86,-2.26,-0.15,10.8,1.39,-0.18,1.38,-2.24,-0.14,-3.03
47,0.3594,-0.05,0.24,-0.52,-0.03,-0.08,-0.57,6.27,0.19,-8.84,11.35,-0.41,20.89,1.61,16.3,-1.65,-6.11,5.77,-6.11,2.55,9.69,0.07,0.09,11.17,-0.09,-0.05,13.49,1.47,-0.11,12.87,-2.26,-0.15,10.8,1.39,-0.18,1.38,-2.24,-0.14,-3.03
48,0.3672,-0.05,0.24,-0.52,-0.03,-0.07,-0.58,6.28,0.18,-8.85,11.35,-0.42,20.88,1.6,16.31,-1.66,-6.11,5.77,-6.11,2.55,9.68,0.07,0.09,11.17,-0.09,-0.05,13.49,1.47,-0.11,12.87,-2.26,-0.15,10.81,1.39,-0.19,1.38,-2.24,-0.14,-3.03
49,0.375,-0.05,0.25,-0.52,-0.03,-0.07,-0.59,6.28,0.17,-8.86,11.35,-0.43,20.87,1.59,16.31,-1.67,-6.11,5.77,-6.11,2.55,9.68,0.07,0.09,11.17,-0.09,-0.05,13.5,1.47,-0.11,12.87,-2.26,-0.15,10.81,1.4,-0.19,1.38,-2.24,-0.14,-3.03
50,0.3828,-0.05,0.25,-0.52,-0.03,-0.07,-0.6,6.28,0.16,-8.87,11.35,-0.44,20.87,1.59,16.31,-1.68,-6.11,5.77,-6.11,2.55,9.69,0.08,0.1,11.18,-0.09,-0.05,13.5,1.47,-0.11,12.87,-2.26,-0.15,10.81,1.4,-0.19,1.38,-2.24,-0.14,-3.03
51,0.3906,-0.05,0.26,-0.52,-0.03,-0.07,-0.6,6.28,0.15,-8.87,11.36,-0.44,20.86,1.58,16.31,-1.69,-6.11,5.77,-6.11,2.56,9.69,0.08,0.1,11.18,-0.09,-0.05,13.5,1.47,-0.11,12.87,-2.26,-0.15,10.82,1.4,-0.19,1.37,-2.24,-0.14,-3.02
52,0.3984,-0.05,0.26,-0.53,-0.02,-0.07,-0.61,6.28,0.14,-8.88,11.36,-0.45,20.85,1.57,16.31,-1.7,-6.11,5.77,-6.11,2.56,9.69,0.08,0.1,11.18,-0.09,-0.05,13.5,1.47,-0.11,12.87,-2.26,-0.15,10.82,1.4,-0.19,1.38,-2.24,-0.13,-3.02
53,0.4063,-0.05,0.26,-0.52,-0.02,-0.06,-0.62,6.28,0.13,-8.89,11.36,-0.45,20.84,1.57,16.31,-1.7,-6.11,5.77,-6.11,2.56,9.69,0.08,0.1,11.18,-0.09,-0.04,13.5,1.47,-0.11,12.87,-2.26,-0.16,10.83,1.4,-0.2,1.37,-2.24,-0.13,-3.02
54,0.4141,-0.06,0.26,-0.52,-0.02,-0.06,-0.62,6.28,0.13,-8.9,11.36,-0.45,20.84,1.56,16.31,-1.7,-6.11,5.77,-6.11,2.56,9.69,0.08,0.11,11.18,-0.09,-0.04,13.5,1.47,-0.12,12.87,-2.27,-0.16,10.83,1.4,-0.2,1.38,-2.24,-0.13,-3.02
55,0.4219,-0.06,0.26,-0.52,-0.02,-0.06,-0.63,6.28,0.12,-8.91,11.37,-0.45,20.83,1.56,16.31,-1.7,-6.11,5.78,-6.11,2.56,9.7,0.08,0.11,11.18,-0.1,-0.04,13.5,1.47,-0.12,12.87,-2.27,-0.17,10.83,1.41,-0.2,1.38,-2.24,-0.13,-3.02
56,0.4297,-0.06,0.26,-0.52,-0.01,-0.06,-0.63,6.28,0.12,-8.91,11.37,-0.44,20.82,1.56,16.31,-1.7,-6.11,5.78,-6.11,2.57,9.7,0.08,0.11,11.17,-0.1,-0.03,13.5,1.47,-0.12,12.88,-2.27,-0.17,10.83,1.41,-0.2,1.37,-2.24,-0.13,-3.02
57,0.4375,-0.06,0.26,-0.52,-0.01,-0.06,-0.63,6.28,0.12,-8.92,11.37,-0.44,20.81,1.55,16.3,-1.71,-6.11,5.78,-6.11,2.57,9.7,0.08,0.12,11.17,-0.1,-0.03,13.5,1.47,-0.12,12.88,-2.28,-0.18,10.84,1.41,-0.2,1.37,-2.24,-0.13,-3.02
58,0.4453,-0.06,0.26,-0.52,-0.01,-0.06,-0.64,6.28,0.11,-8.93,11.37,-0.43,20.81,1.55,16.3,-1.71,-6.12,5.78,-6.11,2.57,9.7,0.08,0.12,11.17,-0.11,-0.03,13.5,1.47,-0.12,12.88,-2.28,-0.18,10.84,1.41,-0.2,1.37,-2.24,-0.13,-3.02
59,0.4531,-0.07,0.26,-0.53,0,-0.05,-0.64,6.27,0.11,-8.94,11.37,-0.43,20.8,1.55,16.3,-1.71,-6.12,5.78,-6.11,2.57,9.7,0.08,0.12,11.17,-0.11,-0.02,13.5,1.47,-0.12,12.88,-2.28,-0.19,10.84,1.41,-0.2,1.37,-2.24,-0.13,-3.02
60,0.4609,-0.07,0.26,-0.53,0,-0.05,-0.65,6.27,0.11,-8.94,11.37,-0.42,20.79,1.55,16.29,-1.71,-6.12,5.79,-6.11,2.57,9.7,0.08,0.12,11.17,-0.11,-0.02,13.5,1.47,-0.12,12.88,-2.28,-0.19,10.84,1.41,-0.2,1.37,-2.24,-0.13,-3.02
61,0.4688,-0.07,0.26,-0.54,0,-0.05,-0.66,6.27,0.1,-8.95,11.37,-0.42,20.78,1.54,16.29,-1.71,-6.12,5.79,-6.11,2.57,9.7,0.07,0.12,11.17,-0.11,-0.02,13.5,1.47,-0.12,12.88,-2.29,-0.19,10.85,1.41,-0.2,1.37,-2.24,-0.13,-3.02
62,0.4766,-0.07,0.26,-0.55,0,-0.05,-0.66,6.27,0.1,-8.96,11.36,-0.41,20.78,1.54,16.28,-1.72,-6.12,5.79,-6.11,2.57,9.7,0.07,0.12,11.17,-0.11,-0.02,13.5,1.47,-0.12,12.88,-2.29,-0.19,10.85,1.41,-0.2,1.37,-2.24,-0.13,-3.02
63,0.4844,-0.07,0.27,-0.56,0,-0.05,-0.67,6.27,0.09,-8.96,11.36,-0.41,20.77,1.53,16.28,-1.72,-6.12,5.79,-6.11,2.57,9.71,0.07,0.12,11.18,-0.11,-0.02,13.5,1.47,-0.12,12.89,-2.29,-0.19,10.85,1.42,-0.2,1.37,-2.24,-0.14,-3.02
64,0.4922,-0.07,0.27,-0.57,0.01,-0.05,-0.68,6.27,0.08,-8.97,11.36,-0.41,20.77,1.53,16.28,-1.72,-6.12,5.79,-6.11,2.57,9.71,0.07,0.12,11.18,-0.11,-0.02,13.5,1.47,-0.12,12.89,-2.29,-0.19,10.85,1.42,-0.2,1.37,-2.24,-0.14,-3.02
65,0.5,-0.07,0.27,-0.58,0.01,-0.05,-0.68,6.27,0.07,-8.97,11.36,-0.41,20.76,1.52,16.27,-1.72,-6.12,5.79,-6.11,2.57,9.71,0.07,0.12,11.18,-0.11,-0.03,13.5,1.47,-0.12,12.89,-2.29,-0.19,10.86,1.42,-0.2,1.37,-2.24,-0.14,-3.02
66,0.5078,-0.07,0.27,-0.59,0.01,-0.05,-0.69,6.28,0.06,-8.98,11.36,-0.41,20.75,1.51,16.27,-1.73,-6.11,5.79,-6.11,2.57,9.71,0.07,0.11,11.18,-0.11,-0.03,13.5,1.47,-0.11,12.9,-2.29,-0.18,10.86,1.42,-0.2,1.37,-2.24,-0.14,-3.01
67,0.5156,-0.07,0.27,-0.6,0.01,-0.05,-0.69,6.28,0.05,-8.98,11.36,-0.42,20.75,1.5,16.27,-1.74,-6.11,5.79,-6.11,2.57,9.71,0.07,0.11,11.18,-0.11,-0.04,13.5,1.47,-0.11,12.9,-2.29,-0.18,10.86,1.42,-0.19,1.37,-2.24,-0.14,-3.01
68,0.5234,-0.07,0.26,-0.61,0.01,-0.05,-0.7,6.29,0.04,-8.99,11.36,-0.42,20.74,1.49,16.27,-1.75,-6.1,5.79,-6.11,2.57,9.71,0.08,0.11,11.18,-0.11,-0.04,13.51,1.47,-0.11,12.9,-2.29,-0.18,10.87,1.41,-0.19,1.37,-2.24,-0.14,-3.01
69,0.5313,-0.07,0.26,-0.61,0.02,-0.04,-0.71,6.29,0.03,-9,11.36,-0.42,20.73,1.48,16.27,-1.76,-6.1,5.8,-6.11,2.57,9.7,0.08,0.11,11.18,-0.11,-0.04,13.51,1.48,-0.11,12.91,-2.29,-0.18,10.87,1.41,-0.19,1.38,-2.24,-0.14,-3.01
70,0.5391,-0.07,0.25,-0.62,0.02,-0.04,-0.72,6.3,0.02,-9.01,11.36,-0.43,20.73,1.48,16.27,-1.77,-6.1,5.8,-6.11,2.58,9.71,0.08,0.11,11.19,-0.11,-0.04,13.51,1.48,-0.11,12.91,-2.29,-0.18,10.87,1.41,-0.19,1.38,-2.24,-0.14,-3.01
